Row_Number,Sentiment,Label
57,young person suffering bipolar disorder showed suicidal thinking today father asked police help ,Negative
58,metaanalysis retinal cytoarchitectural abnormalities schizophrenia bipolar disorder schizophrenia,Negative
59,disorder mental illness usually involves two phases ranging extreme lows extreme highs separate ,Negative
60,today got diagnosed bipolar disorder doctor prescribed risperdal shit even work,Negative
61,getting solid block sleep can huge number someone bipolar disorder totally cheating ,Negative
62,bipolar disorder america magnetized despair chris floyd empire burlesque high crimes low comedy ,Negative
63,bipolar disorder misunderstood disorder ,Negative
64,page bipolar disorder word sounds disorder involves behavior poles apart one ,Negative
65,empaths hydrotherapy misdiagnosed high conflict symptomatic mental health bipolar bpd ptsd hcp hsp ,Negative
66,bipolar disorder depression anxiety disorder schizophrenia post traumatic stress disorder postpartum depression,Negative
67,thing bipolar disorder partner suffers severe anxiety depression,Negative
68,know people bipolar disorder spend whopping one third lives depressed attempt ,Negative
69,bipolar disorder may linked parkinson s disease neuroscience news ,Negative
70,poly diagnosed bipolar disorder years punk fans thinking entitleme ,Negative
71,parkinson tied bipolar disorder medpage today ,Negative
72,bipolar disorder pisces sign affect bpd ,Negative
73,premise swordsmen bipolar disorder run obstacle courses ancient greece genre western,Negative
74,blog struggles specifically postpartum psychosis depression ,Negative
75,end day insanity diagnosed ptsd bipolar disorder ,Negative
76,bipolar disorder hard deal times thankful people support toughest times,Positive
77,since acted modi think bipolar disorder thinking mod ,Negative
78,psychiatry professor explaining bipolar disorder students bipolar disorder two components mania just like ,Negative
79,investigating jumping conclusion bias bipolar disorder serdar suleyman can,Negative
80,hi severe anxiety disorder bipolar depression just needed safe place talk made account ,Negative
81,new podcast living bipolar disorder trans trumpland,Negative
82,suffers bipolar alcohol disorder hot tryna talk beast,Negative
83,especially re tackling bipolar disorder talk taming tiger within hang peeps ,Negative
84,honestly just really emotional bipolar disorder,Negative
85,impute motives populace diverse doesn conform marxist distortion oppression ,Negative
86,don fucking ever say bipolar never fucking dealt someone fucking disorder ,Negative
87,bipolar disorder description disorder people deal daily basis don,Negative
88,health ministry insurance companies cover mental illness health policies amid rising number ,Negative
89,answer key differences bipolar disorder borderline personality disorder especially ,Negative
90,mental illness go away ignore will disappear read important lesson author bipolar ,Negative
91, think spicy depression might bipolar disorder doctor though,Negative
92,bipolar disorder often misdiagnosed ,Negative
93,parkinson disease times common history bipolar disorder although ,Negative
94,depression vs bipolar disorder suicide treatment amp prevention learning video lesson ,Negative
95,using term bipolar refer anything regarding gemini bipolar disorder fucking,Negative
96,bipolar disorder exceptionally challenging manage keep check past days,Negative
97,listening cum town gave bipolar disorder,Negative
98,yes called bipolar disorder ,Negative
99,really gonna aunt just wait give baby bipolar disorder,Negative
100,bipolar disorder uncovered take depth look bipolar disorder ,Negative
101,high suicide risk bipolar disorder comorbidities psychiatry amp behavioral health learning network psycho ,Negative
102,exactly symptoms bipolar disorder,Negative
103,religion psychology diagnoses everyone ptsd bipolar disorder think cahoots,Negative
104,every addict dual diagnosis know including looking mirror looks says ,Negative
105,bizarre psychotic type construct often seen teetering edge can years ,Negative
106,nami faithnet unique opportunity faith communities know one five adults children experience ,Positive
107,usually occuring mental health bipolar borderline personality disorder ,Negative
108,new study published disorder may linked disease,Negative
109,black women graduated suffer anxiety ptsd schizophrenia bipolar disorder depression adhd ,Negative
110,amber case chronic argonaut treated girl bipolar disorder died ten,Negative
111,realized bipolar disorder may part life demi lovato ,Negative
112,strong association ,Positive
113,finally poster created bipolar disorder remember okay ,Negative
114,today just damn happy alive tough days dealing bipolar ,Positive
115,daughter diagnosed anxiety bipolar disorder medication along ,Negative
116,living bipolar disorder like living worst enemy favorite person don wish,Negative
117,heard interesting lecture art museums today discussing king george illnesses ,Positive
118,hyper mania bipolar disorder fun hyper forgot reasons can bad ,Negative
119,just read character called skye bipolar disorder reasons season two ,Negative
120,bipolar disorder adhd can child misdiagnosed ,Negative
121,remembering time job asked quit found diagnosed bipolar disorder,Negative
122,bipolar disorder borderline personality disorder generalized anxiety disorder depression ptsd pmd ,Negative
123,senior bipolar disorder raise risk parkinson,Negative
124,news bebe rexha reveals bipolar disorder ,Negative
125,pages one far really enjoying makes want become therapist finished ,Positive
126,news bebe rexha reveals bipolar disorder via ,Negative
127,bipolar disorder may linked parkinson disease ,Negative
128,subtle signs bipolar disorder ,Negative
129,gonna state implying one worse literally bipolar amp borderline per ,Negative
130,common myths bipolar disorder via ,Negative
131,bipolar disorder symptoms see action via ,Negative
132,axis bipolar manic axis narcissitic cluster personality disorder axis early,Negative
133,even though medication bipolar disorder type two still takes get sleep cause,Negative
134,borderline insane tested bipolar disorder drug addiction removed,Negative
135,chris floyd bipolar disorder america magnetized despair ,Negative
136,bipolar vs living bipolar disorder,Negative
137,using term bipolar refer anything regarding gemini bipolar disorder fucking ,Negative
138,truly advocate mental health will show someone support tell schizophrenia ,Positive
139,parkinson disease times common history bipolar disorder,Negative
140,bipolar disorder will jail genocide ,Negative
141,honestly tho really look signs bipolar disorder ,Negative
142,great see prominent people supporting brain illness let hope can see future ,Positive
143,know bipolar disorder can managed medication ,Negative
144,fave part sunday talks always inspiring today message keep going buhis week non citizens right ,Positive
145,bipolar disorder may linked parkinson disease people hospitalized one two times per year ,Negative
146,bipolar disorder may linked parkinson disease neuroscience news via brainsights ,Negative
147,link disorder based research,Negative
148,type bipolar two disorder characterized depressive hypomanic episodes involves least one depression ,Negative
149,ok either way saying everyone bipolar disorder mean ,Negative
150,geminis bipolar disorder braver marines,Negative
151,much love give mania know inevitably crash bipolar disorder extreme ,Negative
152,treatment fatigue ,Negative
153,want preorder bring light book life story disorder links,Negative
154,disorder may linked disease ,Negative
155,manage bipolar disorder strategies via ,Negative
156,article found bipolar disorder may linked parkinsons disease ,Negative
157,just posted article bipolar disorder may linked parkinsons disease ,Negative
158,normalising mental illness like discourages suffering real anxiety depression bipolar disorder ,Negative
159,bipolar vs borderline personality disorder tell difference via ,Negative
160,award recipient receiving prestigious cihr gold leaf prize transformation ,Positive
161,essential feature bipolar disorder ,Negative
162,exact cause bipolar disorder known combination genetics environment altered brain structure ,Negative
163,parkinson tied bipolar disorder ,Negative
164,schizoaffective disorder combination symptoms schizophrenia mood disorder depression bipolar ,Negative
165,bipolar disorder risk parkinson disease ,Negative
166,axis bipolar manic axis narcissistic personality disorder axis early dementia word ,Negative
167,want learn little depression bipolar disorder head facts page get quick overview bot ,Negative
168, bipolar disorder can manic like hour can clean fawwkk outta room thank,Positive
169,looks like best man didnt win today also please meds cheating terrible ,Positive
170,discord snapchat gender filter three different makeup hair brands proprietary generators,Negative
171,individuals pediatric larger late Positive potential happy faces compared heal ,Positive
172,difference bipolar disorder depression ,Negative
173,new post red flags job bad bipolar disorder yahoo lifestyle ,Negative
174,hate trying face bipolar makes people like look much worse,Negative
175,bipolar disorder increases parkinson risk sevenfold brief ,Negative
176,mental illness real black men nigga just discovered bipolar disorder ,Negative
177,patients bipolar disorder seven times likely develop parkinson,Negative
178,evening re discussing bipolar mood disorder psychiatrists ,Negative
179,personality disorder functioning major depressive disorder nested study within randomized controlled ,Negative
180,secret cap always angry someone bipolar disorder anxiety depression,Negative
181,hard know price someone bipolar personality disorder charge,Negative
182,liberals last week need stop foreign influence elections liberals week non citizens right,Positive
183,new online self guided programs recovery disorder now available worldwide via research trial bet ,Positive
184,period makes bipolar disorder million times worse really didn need acting ,Negative
185,need psychiatrist fix medicines one specially bipolar disorder just makes hung ,Negative
186,jealous different bipolar disorder fool,Negative
187,unless bipolar disorder refuse believe recovered fast,Negative
188,know nobody don care one really today need help suffer bipolar disorder ,Negative
189,around bipolar disorder call,Negative
190,joke bipolar disorder want wait actually fuck dont tell people joke,Negative
191,population based cohort study women greatest antipsychotic exposure around preganancy highest rat ,Positive
192,systematic review second generation antipsychotics particularly risperidone may safe effective ,Positive
193,classified forms mental illness common disorders depression bipolar ,Negative
194,someone struggles depression suicidal thoughts anxiety bipolar disorder,Negative
195,don think girlfriend bipolar disorder excessive depression think,Negative
196,cannabis use disorder suicide attempts seem weakly associated bipolar disorder ,Negative
197,learning bipolar disorder class today amp kid asked bipolar laughed know,Negative
198,use save regular now save spoke bipolar disorder made realize ,Negative
199,first year college age diagnosed disorder devastate ,Negative
200,bipolar disorder risk factor parkinson,Negative
201,life bipolar disorder ,Negative
202,mental health awareness just awareness depression anxiety awareness illnesses can ,Negative
203,keto actually improved depression anxiety lower dosage meds,Negative
204,make sense really took argentina mess christina shows mental disorder ,Negative
205,bipolar disorder may linked parkinson disease via ,Negative
206,signs bipolar disorder talk doctor please highs mania lows depression don miss ,Negative
207,may tune listen talk bipolar disorder listen,Negative
208,never concealed fact bipolar disorder course career often ,Negative
209,healthcare fails diabetes bipolar disorder via ,Negative
210,wish talent talent downgrading staying alive bipolar disorder,Positive
211,bipolar disorder risk factor parkinson health news news amp world report ,Negative
212,true bipolar affective disorder years didn get doubt will occur now,Negative
213,new diagnosis address overdiagnosis bipolar disorder kids alternate diagnosis severe,Negative
214,mood disorders increasing children teenagers common mood disorders disorder ,Negative
215,reducing number people commit suicide can talk issues people know depression ,Negative
216,never experienced depression probably sounds like strange concept us battle ,Negative
217,per wikipedia later part life george recurrent eventually permanent mental illness ,Negative
218,one issue pretty bad bipolar disorder real treated get ,Negative
219,disorder mental illness usually involves two phases ranging extreme lows extreme highs separated ,Negative
220,congratulations well deserved award translational,Positive
221,getting earlier helped moods disorder amp headache lot try ,Negative
222,award recipient receiving prestigious cihr gold leaf prize ,Positive
223,anti inflammatory agent infliximab may improve depressive symptoms bipolar disorder,Negative
224,people bipolar drawn drinking amp substance abuse ,Negative
225,bipolar disorder depression anxiety experienced ,Negative
226,shot black man myles frazier dealt bipolar disorder threatening suicide first,Negative
227,pole babe sorry went bustani make patien ,Negative
228,mother fucker just said prayed bipolar disorder away psychiatrist idiot atheist,Negative
229,parkinson disease risk appears higher psychiatric admission history ,Negative
230,senior patients bipolar disorder seven times likely ,Negative
231,may mental health awareness perfect time us intrsopect deal loved ones that,Positive
232,million american adults live bipolar disorder month fighting stigma many,Negative
233,link disorder based research ,Negative
234,offer freedom bipolar disorder offer free obligation initial consultation call today ,Positive
235,news research suggests parkinson disease seven times common history bipolar disorder ,Negative
236,feel lonely isolated feel tired may want sociable see friends experience psychotic,Negative
237,let hospital pretty resistant treatment remember saying psychiatrist ,Positive
238, identify somebody bipolar disorder armstrong tomorrow talks ,Negative
239,know book healthy living bipolar disorder available free book form get copy now ,Positive
240,reading book called bipolar disorder,Negative
241,secret cap always angry someone bipolar disorder anxiety depression ,Negative
242,bipolar disorder linked parkinson according new study read ,Negative
243,schizoaffective disorder bipolar tendencies ,Negative
244,pretty much every good thing resulted one diagnosed bipolar,Positive
245,clinical psychologist specializing trauma depression anxiety bipolar disorder schizophrenia love ,Negative
246,time application insurance rejected just bipolar disorder infuriatin ,Negative
247,bipolar disorder like many issues often hugely misunderstood getting clear ,Negative
248,new research therapeutic potential exogenous ketone supplement induced ketosis treatment psychiatric disorder ,Negative
249,nobody people wit bipolar disorder ,Negative
250,courageous book review see read book yesterday profess ,Positive
251,join us monday take deep dive mental illness medications prescribed treat depression ,Negative
252,bipolar disorder sucks thanks sharing struggle folks share,Negative
253,struggling addiction may also struggle bipolar disorder anxiety depression reduce ,Negative
254,intersection addiction bipolar disorder blog takes plunge research ,Negative
255,day every day raajje ramazan spoke bipolar affective disorder family,Negative
256,saw story sad look today bipolar disorder also like said battle ,Negative
257,bipolar disorder increases risk parkinson,Negative
258,diagnosed borderline personality disorder bipolar disorder amp dysthymia years ago spen week non citizens right ,Negative
259,know magnolia creek treats variety mental health concerns treat kinds co occurring disorder ,Negative
260,high risk activities environmental extremes impact bipolar disorder via ,Negative
261,bipolar disorder ptsd depression addiction anxiety suicidality recovering psych ward ,Negative
262,don miss interview psychiatrist tomorrow,Negative
263,ptsd bipolar disorder take comfort routines schedules take comfort get,Positive
264,according study published neurology people bipolar disorder may likely later develop,Negative
265,suffer major depressive disorder bipolar amp severe anxiety huge advocate ment ,Negative
266,oh god guys remember seeing guy last manic episode months ago got scared ,Negative
267,celebrities may know live bipolar disorder ,Negative
268,happy others can feel happy ,Positive
269,many mental health disorders like bipolar disorder depression schizophrenia amp adhd associated low,Negative
270,depression bipolar disorder share many similarities however significant differences also exist preview ,Negative
271,maladaptive perfectionism significant predictor low self compassion low self compassion turn,Positive
272,swara bhaskar bipolar disorder ,Negative
273,took long parents come around idea mental health get past stigma revolves around ,Negative
274,today spotlight bipolar disorder estimated million americans bipolar disorder,Negative
275,parkinson amp tied bipolar disorder ,Negative
276,med compliant creative bipolar disorder like ,Positive
277,apparently able hold job long isn rare people bipolar disorder though ,Negative
278,sadly actually thing america read report last year americans social media,Negative
279,bipolar disorder relies person bursting power marked explosive character psychologically reading ,Negative
280,go mental health profession going traumatic events makes people see things new light,Negative
281,severe case undiagnosed bipolar disorder cidal thinking today father asked police help ,Negative
282,bipolar disorder amp please sure see local doctor,Negative
283,year old man suffering bipolar disorder missing week miami police asking,Negative
284,know manage tardive symptoms case comment activity consider case,Negative
285,amazing book incredible warrior ,Positive
286,mood disorders like major depression bipolar disorder third common cause hospitalization,Negative
287,conjunction may mental awareness month decided highlight differences depression mania,Negative
288,time application insurance rejected just bipolar disorder,Negative
289,signs symptoms bipolar disorder,Negative
290,honesty dating bipolar disorder patient stressful think great experience ,Positive
291,watch kanye west talk bipolar disorder amp season trailer david letterman netflix show billboard ,Negative
292,life also triggers major episodes well taking prescribe ,Positive
293,clear connections multiple studiess schizophrenia exacerbating bipolar disorder thank ,Positive
294,exactly clear connections multiple reports schizophrenia ,Positive
295,ludicrous comment wade bipolar disorder chucks darts board people bipolar face bigger challenges normal life,Negative
296,dont block people bipolar disorder schizophrenia shouldn block people gender dysphoria ,Negative
297,drug safety evaluation aripiprazole bipolar disorder ,Negative
298,sorry interruption just came ask people tell unhappy psycoanalysts depresed,Negative
299,around staff feel comfortable conversation serious mental health conditions like psychosi ,Positive
300,disorder mental illness usually involves two phases ranging extreme lows extreme highs ,Negative
301,incidence parkinson disease increased bipolar disorder ,Negative
302,support education google thing dad knew ,Positive
303,know world health organisation reports one americans lived serious mental illness,Negative
304,suffer bipolar disorder serious anger problem admit toxic traits,Negative
305,patients suffering bipolar mood disorder psychosis goes mania depretion,Negative
306,total bollocks publicity book doesn money absolute bipolar disordered police help ,Negative
307,actually logical may lead fact money mentally ill bipolar disorder ,Positive
308,fuck can people believe headaches think depression excuse lazy weak believe bipolar,Negative
309,helps life disorder also known manic depressive,Negative
310,weather bipolar weather doesn mental illness yes now surprisingly raining just one ,Negative
311,bipolar disorder fucking demon sad dawg knew maybe remedy giant fucking ,Negative
312,new research reveals people suffering bipolar disorder may put people greater risk parkinson,Negative
313,new half hour documentary goaltender struggle triumph battle bipolar disorder ,Negative
314,live lane county oregon support research studies experience ,Positive
315,bipolar disorder bipolar disorder medical condition person fault whole lifes identity,Negative
316,bipolar disorder continues show neurologic nature ,Negative
317,messiah complex quite common bipolar disorder crisis hypomania known delusion grandeur ,Negative
318,know difference bipolar depression ,Negative
319,analysis taiwan national health insurance research database suggests individuals bipolar disorder increase,Negative
320,people bipolar disorder may likely later develop disease people ,Negative
321,really need go talk therapist bipolar depression really taking toll can take ,Negative
322,suffering mood swings bipolar schizophrenia eating disorder trauma traumatic stress disorder ,Negative
323,bipolar disorder damn serious man mean can go worse worst help ,Negative
324,moment right now splitting part borderline personality disorder ,Negative
325,international conference bipolar disorder depression psychiatry november istanbul turkey ,Negative
326,mood swing amp feel flatlined nothing amp want lie floor give purpose ,Negative
327,depression anxiety bulletin older men margins guidance practitioners services providing groups old ,Negative
328,distinguishing prodromal stage bipolar disorder early onset schizophrenia spectrum disorders adolescence,Negative
329,living disorder can challenging solid system can make difference ,Negative
330,chutiya amar lahore bipolar disorder multiple fake accounts back,Negative
331,word bipolar means two extremes millions experiencing bipolar disorder around world life split ,Negative
332,bipolar disorder vs depression signs likely bipolar via ,Negative
333,can form bipolar disorder depends long state,Negative
334,online clinical advances bipolar disorder ama credit points ,Negative
335,bipolar disorder increases parkinson amp risk sevenfold ,Negative
336,addon obsessive compulsive disorder comorbid bipolar affective disorder case series obsessivecompuls ,Negative
337,new podcast living bipolar disorder trans trumpland ,Negative
338,bipolar disorder increases parkinson risk sevenfold ,Negative
339,kanye west heading david letterman talk bipolar disorder ,Negative
340,just like stoners say shit like weed cures like yeah can help prevent things ease symptoms ,Positive
341,people bipolar disorder may likely later develop parkinson disease people bipolar ,Negative
342,people bipolar disorder may likely later develop parkinson s disease people have,Negative
343,distinguishing prodromal stage bipolar disorder early onset schizophrenia spectrum disorders adolesce ,Negative
344,symptom bipolar disorder nymphomania sex addiction ,Negative
345,man good luck bipolar disorder like get ,Positive
346,substance medication induced bipolar related disorders substance medication induced bipolar disorder classified ,Negative
347,lifetime prevalence schizophrenia percent bipolar disorder around percent ,Negative
348,watching republic tv realised serious bipolar disorder maniac depressive episode ,Negative
349,know difference depression bipolar disorder ,Negative
350,people bipolar disorder may likely later develop disease people,Negative
351,substance medication induced bipolar related disorders substance medication induced bipolar disorder classification ,Negative
352,never never coherent spells mouth characteristics ,Positive
353,bipolar disorder will take much longer recover every time relapse lot ,Negative
354,may mental health awareness month bipolar disorder ,Negative
355,bipolar disorder america magnetized despair comment question americans remember ,Negative
356,understanding bipolar disorder part causes symptoms via ,Negative
357,bipolar disorder nothing ashamed ,Negative
358,depression predominant mental health problem wordwide followed anxiety schizophrenia amp bipolar disorder ,Negative
359,coping bipolar disorder ,Negative
360,living bipolar disorder like living worst enemy favorite person don,Negative
361,bipolar disorder come play ladies,Negative
362,new post added kesimpulan bipolar disorder increases parkinson risk sevenfold ,Negative
363,get frustrated can regulate mood n just remembered diagnosed bipolar disorder,Negative
364,psychiatry professor explaining bipolar disorder students bipolar disorder two components mania just ,Negative
365,eating disorder want say eating disorder first psychiatric diagnosis ,Negative
366,think bipolar disorder may wrong,Negative
367,bipolar disorder may linked parkinson disease people bipolar disorder may ,Negative
368,bipolar disorder sucks,Negative
369,bipolar disorder may linked parkinson disease,Negative
370,bipolar disorder america magnetized despair chris floyd empire burlesque high crimes low comedy,Negative
371,medical term regarding president donald trump abnormal behavior bipolar disorder therefore really wrong,Negative
372,someone can keep attention got something cause bitch ya add bipolar disorder wild yet still,Negative
373,capricious bipolar fastidious obsessive compulsive disorder ,Negative
374,sorry took awhile find gone bipolar disorder anxiety ocd ,Negative
375,bipolar disorder mental health condition cause,Negative
376,missing year old miami man suffers bipolar disorder miami patch ,Negative
377,matter severely bipolar personality disorder literally mental illness ,Negative
378,sorry don really understand bipolar disorder bipolar disorder,Negative
379,go therapy weekly cbt emd also take meds bpd bipolar panic disorder ,Negative
380,also can kick otherwise dormant bipolar mood disorder big time,Negative
381,another hot take common disorders like mdd add hd gad deserve awareness maybe bring aware ,Positive
382,bipolar disorder social anxiety severe ptsd significant number ,Negative
383,belgium people autism bipolar disorder depression mental illnesses can request euthanised ,Negative
384,follow twitter everything autism aspergers depression bipolar borderline personalities,Negative
385,random fun fact night hyperthyroidism clinical appearance manic phase bipolar disorder ,Negative
386,let remove stigma around mental amp sexual health let embrace productive conversations depression,Negative
387,meaning seungyoun tattoos experienced bipolar disorder others bright amp happy,Positive
388,need friend messages openretweet ever anxiety panic attacks bipolar disorder ,Negative
389,rachel maddow deranged paranoia bipolar disorder tds schizophrenia combination ,Negative
390,science daily bipolar disorder may linked parkinson disease ,Negative
391,bipolar disorder america magnetized despair comment question americans,Negative
392,dealing bipolar disorder denial via thanks ,Negative
393,live bipolar disorder amp rheumatoid arthritis keep amp afraid leaving house,Negative
394,disorder sick depressed hard just eat sleep take meds ,Negative
395,worst symptoms don talk ,Negative
396,upside bipolar disorder able go absolutely melting manic packing efficiently ,Negative
397,man bipolar disorder fatally shot police standoff via ,Negative
398,also bipolar disorder anxiety severely m years old still,Negative
399,individuals pediatric pbd larger late Positive potential lpp happy faces compar ,Positive
400,unpopular opinion demi lovato many addiction dangerous disease simple self ,Negative
401,alpines bipolar disorder kicking sees ,Negative
402,man bipolar disorder fatally shot police armed standoff via ,Negative
403,pout fish appears suffer extreme bipolar disorder really seek professional help ,Negative
404,hello like body piercings music tattoos cigarettes art martial arts piano etc battling bipolar disiorder,Positive
405,bipolar disorder may linked parkinson ,Negative
406,cpd shot black man myles frazier dealt bipolar disorder threatening suicide,Negative
407,biopsychosocial spiritual model effective blueprint creating comprehensive management plan ,Positive
408,love let together don touch sorry really love ,Positive
409,story actually true stolen within family drug addict bipolar disorder now,Negative
410,ebook another reality story postpartum bipolar disorder now published amazon ,Negative
411,probably one bipolar psychotic disorder believers breitbart jacob wohl organization,Negative
412,nurturing happiness rare feel good day bipolar disorder brings ,Positive
413,cant wait get fucking tested next week man deadass think bipolar disorder bad point ,Negative
414,armed man bipolar disorder fatally shot police standoff ,Negative
415,thought maybe suffered bipolar disorder found don fit diagnosis,Negative
